State,Baseball_Schools,Baseball_Participants,Basketball_Schools,Basketball_Participants,Bowling_Schools,Bowling_Participants,Cross_Country_Schools,Cross_Country_Participants,Football_11_Schools,Football_11_Participants,Football_8_Schools,Football_8_Participants,Golf_Schools,Golf_Participants,Hockey_Schools,Hockey_Participants,Lacrosse_Schools,Lacrosse_Participants,Soccer_Schools,Soccer_Participants,Swimming_Schools,Swimming_Participants,Tennis_Schools,Tennis_Participants,Indoor_Track_Schools,Indoor_Track_Participation,Outdoor_Track_Schools,Outdoor_Track_Participation,Volleyball_Schools,Volleyball_Participation,Wrestling_Schools,Wrestling_Participation
Alabama,419,14337,421,12673,118,1218,308,4421,393,35306,,,299,2651,,,,,230,9297,130,806,186,1920,210,4448,381,11736,,,168,5393
Alaska,29,585,125,1745,8,50,98,850,22,1445,,,,,23,387,,,30,773,33,320,20,178,,,51,1035,,,85,1100
Arizona,257,8054,278,8617,,,243,3288,221,18233,27,1686,209,1942,,,,,227,8786,163,2230,176,2036,,,255,9812,130,3543,212,6185
Arkansas,277,6353,311,6387,91,885,208,2241,194,11294,33,839,236,1650,,,3,68,118,3548,61,504,141,1291,80,1411,286,6084,,,75,1809
California,1269,43051,1519,46883,1,34,1362,27045,1035,89667,113,2539,1004,11755,35,604,274,10259,1386,56124,921,18461,956,17630,,,1275,57088,1142,27982,881,26327
Colorado,279,8132,358,9852,,,,,205,13316,40,1507,195,2857,36,1321,77,3575,229,9080,73,1658,120,3032,,,325,10971,81,1903,233,6067
Connecticut,175,5111,182,5094,,,179,2982,140,9401,,,158,1745,57,1468,102,3829,179,6721,110,1492,133,2178,170,4871,178,7461,63,1209,139,2595
Delaware,50,1300,53,1560,,,52,873,46,2454,,,44,351,,,40,1287,52,1918,40,535,34,442,38,867,45,1628,19,345,48,966
Dist. of Columbia,27,540,44,1078,,,34,521,25,1186,1,30,18,126,3,71,8,256,25,830,15,160,23,227,22,444,40,823,4,55,16,228
Florida,662,18097,726,20616,232,1561,657,7315,585,38515,,,560,4448,,,224,6938,674,19819,474,5678,524,4732,,,679,19820,246,3958,417,9066
Georgia,418,12771,437,12026,,,412,7068,416,33039,,,367,3268,,,115,4041,387,12352,267,3362,376,4354,,,433,16441,,,352,9142
Hawaii,62,1711,71,1781,52,451,71,1100,58,3955,3,81,55,427,,,,,63,1650,59,668,56,667,,,68,2088,64,1601,55,1266
Idaho,112,2757,160,3929,,,137,2000,87,7020,55,1034,115,1417,,,,,81,2473,54,633,62,1273,,,150,5731,,,108,3055
Illinois,642,19800,736,21099,267,3226,554,9296,517,36810,,,523,7634,,,108,4517,459,19776,267,4733,304,6052,,,647,24708,255,7574,440,13254
Indiana,388,10546,409,10177,,,390,4992,316,20610,,,362,4177,,,,,313,9638,245,3104,294,4755,,,402,14840,106,2221,315,7820
Iowa,330,10330,353,10037,117,2046,363,4993,262,16388,67,1732,346,5380,,,,,174,6597,47,1224,112,2197,,,359,12443,,,283,6952
Kansas,270,6491,348,8166,92,1168,308,3224,220,13377,98,1990,268,2993,,,,,108,4452,93,1464,128,2314,,,347,10524,,,229,5132
Kentucky,261,2871,272,6670,114,1337,251,2789,222,13323,,,241,2328,,,37,1138,203,7080,140,1429,217,2264,139,1029,261,7084,25,449,135,3000
Louisiana,358,8811,393,7961,102,868,,,312,20696,,,251,1405,,,,,190,5254,159,1065,166,1441,305,2140,384,10193,,,100,2559
Maine,112,2578,117,3057,2,17,94,952,54,2395,33,951,97,1058,61,791,53,1635,114,3498,45,368,47,957,69,1482,97,2603,12,131,63,875
Maryland,191,5249,196,5374,7,42,189,3500,181,13143,,,160,1274,3,54,160,5961,189,7244,112,1777,174,2092,191,6116,196,8297,36,737,180,5297
Massachusetts,341,11271,367,12803,,,322,5874,332,17806,,,282,4628,278,7280,256,8202,358,14141,243,2324,233,3298,286,10061,337,14725,153,3929,228,4948
Michigan,652,16294,734,20193,407,4292,647,7886,520,32431,123,2583,533,7135,271,3117,178,5210,478,13903,255,3990,284,5918,53,575,674,23888,80,1160,479,10598
Minnesota,446,12601,492,13772,,,459,6082,365,21442,,,392,5794,291,5045,137,3750,286,10608,163,2848,194,4142,,,488,16396,,,349,7418
Mississippi,243,7776,244,10980,50,670,170,2900,242,27100,,,178,1225,,,,,147,5121,66,700,140,1762,,,243,6437,,,20,711
Missouri,538,12921,596,13151,10,108,467,5287,328,20858,71,1036,354,4584,,,,,249,8591,123,1735,180,3508,,,542,16571,82,2012,262,8014
Montana,25,537,180,3342,,,121,1122,79,3858,43,775,129,1233,,,,,39,930,28,243,51,712,,,182,3989,,,116,1643
Nebraska,104,2997,303,6415,70,823,268,2803,132,8441,112,3051,255,2739,,,,,85,2980,68,678,68,1214,,,302,8457,,,266,4995
Nevada,99,2499,118,3289,39,345,90,1014,76,6411,20,388,78,627,,,,,72,2599,62,619,62,824,,,103,3721,49,1448,78,2132
New Hampshire,85,2178,87,2470,17,149,75,923,56,3226,,,67,898,39,969,47,1827,84,2941,46,205,49,618,63,1144,79,2515,16,323,47,923
New Jersey,390,13541,423,14562,239,2954,386,7747,340,22658,,,295,4268,114,3201,215,8661,389,19641,249,4577,307,5668,358,12731,385,20375,180,6276,308,11579
New Mexico,115,3359,155,4030,26,287,128,1490,92,6340,16,296,90,780,,,,,78,2534,49,513,58,676,,,156,4306,153,215,65,1728
